#HMM - Genes
#genes: ES=234, GD=126, NE=3445, GA=40, N/A=40
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
CCNA_00001	-	ATP/GTP-binding protein	12	0	0	12	0	1.0000	97.00	NE
CCNA_00002	-	septum formation protein Maf	7	0	0	7	0	1.0000	180.43	NE
CCNA_00003	-	shikimate 5-dehydrogenase	8	0	0	8	0	1.0000	74.75	NE
CCNA_00004	-	dephospho-CoA kinase	5	0	5	0	0	0.2000	1.00	GD
CCNA_00005	dnaQ	DNA polymerase III, epsilon chain	7	0	2	5	0	0.8571	23.00	NE
CCNA_00006	-	enoyl-CoA hydratase	4	0	0	4	0	1.0000	42.50	NE
CCNA_00007	-	SSU ribosomal protein S20P	2	0	0	2	0	0.5000	3.00	NE
CCNA_00008	dnaA	chromosome replication initiator protein DnaA	10	10	0	0	0	0.0000	0.00	ES
CCNA_00009	alkB	alkylated DNA repair protein AlkB	9	0	0	9	0	0.8889	77.25	NE
CCNA_00010	dnaK	chaperone protein DnaK	13	11	0	2	0	0.1538	88.00	ES
CCNA_00011	dnaJ	chaperone protein DnaJ	10	7	0	3	0	0.4000	29.00	ES
CCNA_00012	mutS	DNA mismatch repair protein MutS	24	0	0	24	0	0.9167	75.86	NE
CCNA_00013	-	protein-PII uridylyltransferase	29	0	13	16	0	0.6207	11.78	NE
CCNA_00014	moaC	molybdenum cofactor biosynthesis protein C	2	0	0	2	0	1.0000	73.50	NE
CCNA_00015	moaB	molybdenum cofactor biosynthesis protein B	2	0	0	2	0	1.0000	66.50	NE
CCNA_00016	moaE	molybdopterin converting factor, large subunit	4	0	0	4	0	1.0000	36.50	NE
CCNA_00017	moaD	molybdopterin converting factor, small subunit	0	0	0	0	0	0.0000	0.00	N/A
CCNA_00018	moaA	molybdenum cofactor biosynthesis protein A	9	0	0	9	0	0.7778	104.43	NE
CCNA_00019	-	molybdopterin-guanine dinucleotide biosynthesis protein A	7	0	0	7	0	1.0000	76.43	NE
CCNA_00020	-	hypothetical protein	3	0	0	3	0	1.0000	57.00	NE
CCNA_03911	-	hypothetical protein	1	0	0	1	0	1.0000	70.00	NE
CCNA_00021	-	putative aerobic-type carbon monoxide dehydrogenase, large subunit CoxL	23	0	0	23	0	0.9130	75.62	NE
CCNA_00022	-	putative aerobic-type carbon monoxide dehydrogenase, small subunit CoxS	7	0	0	7	0	0.8571	55.50	NE
CCNA_00023	-	putative periplasmic protein	8	0	0	8	0	1.0000	33.62	NE
CCNA_00024	-	uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase	4	0	0	4	0	1.0000	46.25	NE
CCNA_00025	-	major facilitator superfamily transporter	22	0	0	22	0	0.9545	121.19	NE
CCNA_00026	-	PAS-family sensor histidine kinase	23	0	0	23	0	0.8261	98.26	NE
CCNA_00027	-	2OG-Fe(II) oxygenase	6	0	0	6	0	1.0000	66.50	NE
CCNA_00028	-	TonB-dependent receptor	41	0	0	41	0	0.9756	121.97	NE
CCNA_00029	-	lysine exporter protein	5	0	0	5	0	1.0000	147.40	NE
CCNA_00030	-	ribonuclease T2	7	0	0	7	0	0.8571	61.17	NE
CCNA_00031	vapC	toxin protein VapC	7	0	0	7	0	1.0000	70.86	NE
CCNA_00032	vapB	antitoxin protein VapB	3	0	0	3	0	1.0000	99.33	NE
CCNA_03912	-	hypothetical protein	18	0	0	18	0	0.9444	150.29	NE
CCNA_00033	-	polyribonucleotide nucleotidyltransferase/polynucleotide adenylyltransferase	14	12	0	2	0	0.1429	50.00	ES
CCNA_00034	-	SSU ribosomal protein S15P	5	5	0	0	0	0.0000	0.00	ES
CCNA_00035	-	tRNA pseudouridine synthase B	6	2	0	4	0	0.6667	139.25	NE
CCNA_00036	-	ribosome-binding factor A	3	0	0	3	0	1.0000	59.00	NE
CCNA_00037	-	esterase lipase family protein	4	0	0	4	0	1.0000	57.25	NE
CCNA_00038	-	hypothetical protein	6	0	0	6	0	1.0000	86.83	NE
CCNA_00039	-	conserved hypothetical protein	5	0	0	5	0	1.0000	82.00	NE
CCNA_00040	-	YcxB-like membrane protein	14	0	0	14	0	1.0000	117.07	NE
CCNA_00041	-	protein translation initiation factor 2 IF-2	13	12	0	1	0	0.1538	19.50	ES
CCNA_00042	-	Ylxr-like protein	4	0	0	4	0	0.7500	8.00	NE
CCNA_00043	nusA	N utilization substance protein A NusA	13	11	0	2	0	0.1538	60.00	ES
CCNA_00044	-	ribosome maturation protein RimP	5	0	0	5	0	0.8000	74.00	NE
CCNA_00045	-	inorganic pyrophosphatase	11	8	0	3	0	0.2727	38.33	ES
CCNA_00046	-	conserved hypothetical protein	5	0	0	5	0	1.0000	45.40	NE
CCNA_00047	-	tRNA m7-G46 methyltransferase	4	0	0	4	0	1.0000	29.75	NE
CCNA_00048	metK	S-adenosylmethionine synthetase	15	12	0	3	0	0.2000	137.33	ES
CCNA_00049	hipB	HTH transcriptional regulator	4	0	0	4	0	1.0000	47.50	NE
CCNA_00050	-	apolipoprotein N-acyltransferase	32	0	28	4	0	0.8125	9.27	GD
CCNA_00051	corC	magnesium and cobalt efflux protein CorC	9	0	0	9	0	0.8889	129.88	NE
CCNA_00052	-	metal-dependent hydrolase/metalloproteinase	8	0	0	8	0	0.8750	7.43	NE
CCNA_00053	phoH	phosphate starvation-inducible protein PhoH	10	0	0	10	0	1.0000	160.00	NE
CCNA_00054	-	tRNA 2-methylthioadenosine synthase	17	0	0	17	0	1.0000	113.29	NE
CCNA_00055	-	ferric uptake regulation protein	6	0	0	6	0	0.8333	51.40	NE
CCNA_00056	-	ribosomal-protein-S18-alanine acetyltransferase	6	0	0	6	0	1.0000	63.33	NE
CCNA_00057	-	glycoprotease family protein	9	0	0	9	0	0.6667	40.83	NE
CCNA_00058	-	conserved hypothetical protein	7	0	0	7	0	1.0000	109.00	NE
CCNA_00059	-	oxygen-insensitive NADH nitroreductase	6	0	0	6	0	1.0000	81.33	NE
