#Command: python3 Fitness_Esimation.py out/H37Rv_TTN.csv demodata/H37Rv/H37Rv_hmm_np.csv out/H37Rv.pickle demodata/H37Rv/H37Rv.prot_table
#Gumbel Calls: Calls from the Gumbel Analysis.
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are classified as ES and those found to be essential through Bernoulli  are classified as ESB
#Gene+TTN Summary: 318ES 54ESB 717GD 1006GA 1886NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Coef Diff Adj Pval,Mean STLM Predicted Count,Mean Actual Count,Gumbel Call,HMM+NP States,Gene+TTN States
Rv0001,dnaA,chromosomal replication initiation protein ,32,8,False,,,,,,,,5.8875,E,ES,ES
Rv0002,dnaN,DNA polymerase III subunit beta ,31,3,True,-1.790425223064057,7.872867877126498e-46,-1.6780323997831168,6.70056841425431e-81,0.11239282328094014,0.0008825450046539507,,0.09032258064516129,U,ES,GD
Rv0003,recF,recombination protein F ,35,31,True,-0.4249174724560551,0.0015232524855656687,-0.4459753260865239,3.8833327736482203e-07,-0.021057853630468804,0.5779305323000224,22.88496792199072,33.13428571428572,NE,NE,GD
Rv0004,-,hypothetical protein Rv0004 ,8,3,True,-0.9718326519248573,0.0004415432306340349,-0.7897837942403901,2.3077711964135985e-05,0.1820488576844672,0.23320747673456255,30.069592502895457,53.95,U,NE,GD
Rv0005,gyrB,DNA gyrase subunit B ,43,3,True,-1.6881770091226833,2.3832632176618956e-56,-1.7568132211982308,1.5227305928226025e-122,-0.06863621207554749,0.004327058203734901,5.223737526545321,5.8930232558139535,U,ES,GD
Rv0006,gyrA,DNA gyrase subunit A ,46,6,False,,,,,,,,2.845652173913044,E,ES,ES
Rv0007,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,11,11,True,0.5987443282463966,0.015051775206994836,0.550051078915917,0.0006729275064841387,-0.04869324933047958,0.7073352093800597,136.46556818739847,187.06363636363633,NE,NE,GA
Rv0008c,-,POSSIBLE MEMBRANE PROTEIN ,4,4,True,0.026122150692979042,0.9586397766603615,0.3139014905227569,0.27494933452703496,0.2877793398297779,0.3979755682208923,61.36766636256263,93.82499999999999,NE,NE,NE
Rv0009,ppiA,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) ,7,6,True,0.24913904199655418,0.47110747931981883,0.3225799298808977,0.12896372712433754,0.0734408878843435,0.7221384003312121,103.48120112656413,155.31428571428572,NE,NE,NE
Rv0010c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,10,9,True,0.07951872205015888,0.7955842858743697,0.0730296886235923,0.7127286547715734,-0.006489033426566579,0.9702002339660097,81.74568846432882,108.88999999999999,NE,NE,NE
Rv0011c,-,putative septation inhibitor protein ,3,3,True,-0.7180606343417387,0.15018466195619998,-1.0446200181886967,0.0007525135252306979,-0.32655938384695793,0.5021198498728068,84.09733343267446,10.6,S,NE,GD
Rv0012,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,17,17,True,0.24240853827591508,0.2551553799700134,0.17670987446824818,0.19947878383037132,-0.0656986638076669,0.3610893624563961,137.93278973444944,153.0235294117647,NE,NE,NE
Rv0013,trpG,para-aminobenzoate synthase component II ,14,1,False,,,,,,,,0.4714285714285714,E,ES,ES
Rv0014c,pknB,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) ,25,4,False,,,,,,,,8.212,E,ES,ES
Rv0015c,pknA,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) ,16,4,False,,,,,,,,4.76875,E,ES,ES
Rv0016c,pbpA,PROBABLE PENICILLIN-BINDING PROTEIN PBPA ,36,34,True,-0.40134286227414007,0.0025782360217616145,-0.31786734755217516,0.0003617032502931015,0.0834755147219649,0.003916671155548963,,31.11111111111111,NE,NE,GD
Rv0017c,rodA,PROBABLE CELL DIVISION PROTEIN RODA ,27,27,True,0.15302135926762211,0.3727990026693047,0.0652601074324517,0.5786150013386353,-0.08776125183517042,0.02808622577960374,75.74880097889364,88.94814814814812,U,NE,NE
Rv0018c,ppp,POSSIBLE SERINE/THREONINE PHOSPHATASE PPP ,25,15,False,,,,,,,,46.711999999999996,E,ESD,ES
Rv0019c,-,hypothetical protein Rv0019c ,13,13,True,0.0680485436664464,0.8007161522513061,-0.1607176867599743,0.31684847121813653,-0.2287662304264207,0.008851554702609765,,57.20769230769231,NE,NE,NE
Rv0020c,TB39.8,hypothetical protein Rv0020c ,52,11,True,-1.4787289851814687,2.4037654414710997e-52,-1.2890284177304476,5.1497733957866965e-80,0.18970056745102104,0.0,,20.392307692307693,U,ESD,GD
Rv0021c,-,hypothetical protein Rv0021c ,23,23,True,0.4602147292361493,0.00631343587942344,0.5281482070572969,1.165308308580237e-06,0.06793347782114761,0.17319064673940876,123.27593547085863,172.44347826086957,U,NE,GA
Rv0022c,whiB5,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 ,8,8,True,0.29465221533776104,0.34836227713633633,0.32544752100668056,0.10031831450181154,0.030795305668919526,0.8679079756560283,110.17461946032971,162.03750000000002,NE,NE,NE
Rv0023,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,12,9,True,-1.4454261688523868,5.8193895221822905e-12,-1.3781557042444001,1.0193845013795936e-21,0.06727046460798669,0.5437094792274163,10.039558242768239,1.4166666666666667,NE,GD,GD
Rv0024,-,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN ,13,13,True,0.07697140693540219,0.7751840209063233,0.23764898933774256,0.12725555842980973,0.16067758240234037,0.06596179303339768,49.145437869541986,92.04615384615384,NE,NE,NE
Rv0025,-,hypothetical protein Rv0025 ,8,8,True,0.30361226057880375,0.33211853878461733,0.3904350358362558,0.04655797528939012,0.08682277525745202,0.6131465785677875,99.22177431499276,85.9625,NE,NE,GA
Rv0026,-,hypothetical protein Rv0026 ,15,13,True,0.11802141776528227,0.624599962677595,0.01765578763831256,0.919185686455449,-0.10036563012696971,0.19705948213744676,177.3815804739458,119.69333333333334,NE,NE,NE
Rv0027,-,hypothetical protein Rv0027 ,5,5,True,-0.027576989409998278,0.9514329058895155,-0.15687467899175025,0.5630680820571006,-0.12929768958175197,0.6538463011688475,141.42452929721838,50.38,NE,NE,NE
Rv0028,-,hypothetical protein Rv0028 ,5,5,True,0.2740644198205284,0.5026821694155436,0.14972270648957675,0.5830674090137691,-0.12434171333095168,0.6682433618023221,87.2624679062499,169.40000000000003,NE,NE,NE
Rv0029,-,hypothetical protein Rv0029 ,19,19,True,0.2549428236641974,0.20236571047795543,0.2781392480932472,0.027860022432746535,0.02319642442904979,0.7591624756750542,88.08164652842162,131.60526315789474,NE,NE,GA
Rv0030,-,hypothetical protein Rv0030 ,5,5,True,0.07982036057511359,0.8573603567569253,0.05672543926361556,0.8456708767887243,-0.023094921311498026,0.9427966176349103,118.46620437173397,95.72,NE,NE,NE
Rv0031,-,POSSIBLE REMNANT OF A TRANSPOSASE ,1,1,True,-0.3813467964815133,0.6857689477656653,0.51841235898027,0.3746785996952766,0.8997591554617834,,14.00325087957494,13.7,S,Uncertain,NE
Rv0032,bioF2,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) ,56,47,True,-0.08735979504774977,0.47503384272096716,-0.22599473652189137,0.0017335248638049232,-0.1386349414741416,1.5475967391067548e-13,119.22442057074666,119.2375,NE,NE,GD
Rv0033,acpA,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) ,4,4,True,0.7109060049600716,0.09605629129575866,0.41347241907089044,0.14200168247908673,-0.2974335858891812,0.37971070250470396,229.0301610961319,199.14999999999998,S,NE,NE
Rv0034,-,hypothetical protein Rv0034 ,5,5,True,0.31538963476281884,0.43660774210833747,0.38966284455501365,0.1209425242425316,0.07427320979219482,0.8024913511985984,96.65070537385522,139.26000000000002,S,NE,NE
Rv0035,fadD34,PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) ,25,24,True,0.35545114762527974,0.031818804726918226,0.3704894477034907,0.0005473714537761812,0.015038300078210942,0.7945629464940599,128.88756890098676,171.71599999999998,NE,NE,GA
Rv0036c,-,hypothetical protein Rv0036c ,4,4,True,0.5705156751718303,0.18918062854017567,0.5244124873949302,0.05922772167957773,-0.046103187776900145,0.9089780688225719,108.82543035377006,154.75,NE,NE,NE
Rv0037c,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,21,20,True,0.2985893749772925,0.11053844256863773,0.3554687322803146,0.0025943026561126505,0.05687935730302213,0.3189561356953657,147.5395296405978,178.05714285714288,NE,NE,GA
Rv0038,-,hypothetical protein Rv0038 ,8,8,True,0.5530291476606558,0.06265163594769635,0.2609576147336825,0.19262925029449948,-0.2920715329269733,0.05157404049343658,190.49551627120996,189.35,NE,NE,NE
Rv0039c,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,4,4,True,0.31762558986920764,0.48633066863094326,0.37058836837886894,0.1903950264525585,0.0529627785096613,0.893125586762908,69.59972090459344,126.525,NE,NE,NE
