ORF ID,Name,Description,Total # TA Sites,#Sites with 0 insertions,Used in Models,Gene (M0) Coef,Gene(M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Coef Diff Adj Pval,Mean STLM Predicted Count,Mean Actual Count,Gene+TTN States,HMM+NP States
Rv0001,dnaA,chromosomal replication initiation protein ,32,24,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0002,dnaN,DNA polymerase III subunit beta ,31,28,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0003,recF,recombination protein F ,35,4,True,-0.5231401317396758,0.0003420209665027126,-0.5366679783811258,2.8181971981696195e-08,-0.013527846641450014,0.7610571677676362,22.35552079483062,32.58285714285714,GD,NE
Rv0004,-,hypothetical protein Rv0004 ,8,5,True,-1.0393979645673865,0.0007312715964166418,-0.8517854248048279,4.6298628347365956e-05,0.18761253976255865,0.2616772249900548,29.623688093533172,53.962500000000006,GD,NE
Rv0005,gyrB,DNA gyrase subunit B ,43,40,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0006,gyrA,DNA gyrase subunit A ,46,40,False,,,,,,,,"Series([], Name: Count, dtype: float64)",ES/ESD,ES
Rv0007,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,11,0,True,0.5291961117472782,0.06516571691379307,0.4652225295536862,0.013241545217966225,-0.063973582193592,0.6373050322281066,136.4180188857063,188.0181818181818,GA,NE
Rv0008c,-,POSSIBLE MEMBRANE PROTEIN ,4,0,True,-0.07706141689653548,0.8981046758030714,0.21464309850521732,0.5485233102119175,0.2917045154017528,0.43362746032818766,60.80612532623816,94.225,NE,NE
Rv0009,ppiA,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) ,7,1,True,0.1861453567460156,0.6634793360226863,0.2623585990939809,0.31284531744688326,0.07621324234796531,0.7375334888793741,103.4475186794227,156.77142857142854,NE,NE
Rv0010c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,10,1,True,-0.013840375570642233,0.9713135268804813,-0.013250705145497284,0.9592465470656735,0.0005896704251449492,0.9986498222029413,80.79789114851256,108.03999999999999,NE,NE
