ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Coef Diff Adj Pval,Mean STLM Predicted Count,Mean Actual Count,Gene+TTN States,HMM+NP States
Rv0001,dnaA,chromosomal replication initiation protein ,32,8,False,,,,,,,,5.6625,ES/ESD,ES
Rv0002,dnaN,DNA polymerase III subunit beta ,31,3,False,,,,,,,,0.05161290322580645,Uncertain,ES
Rv0003,recF,recombination protein F ,35,31,True,-0.5209047462200848,0.00022745710291369842,-0.5424355836508472,4.072535450378646e-10,-0.02153083743076245,0.5703692326361721,22.35552079483062,32.58285714285714,GD,NE
Rv0004,-,hypothetical protein Rv0004 ,8,3,False,,,,,,,,53.962500000000006,ES/ESD,NE
Rv0005,gyrB,DNA gyrase subunit B ,43,3,True,0.1852760936626013,0.7733455530085802,0.4397813934392618,0.20115855000574992,0.2545052997766605,0.610193800212784,74.09296701500585,83.73333333333333,NE,ES
Rv0006,gyrA,DNA gyrase subunit A ,46,6,False,,,,,,,,2.7891304347826082,ES/ESD,ES
Rv0007,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,11,11,True,0.5314314972670517,0.054237312777508005,0.47046765399763835,0.004526269868227982,-0.0609638432694134,0.6270113121100959,136.4180188857063,188.0181818181818,GA,NE
Rv0008c,-,POSSIBLE MEMBRANE PROTEIN ,4,4,True,-0.07482603137687635,0.8982154047429262,0.23872018349883906,0.4409695227535414,0.31354621487571543,0.359025325334578,60.80612532623816,94.225,NE,NE
Rv0009,ppiA,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) ,7,6,True,0.18838074226580737,0.6465773621644691,0.26394739648461996,0.24197751359120925,0.07556665421881259,0.7134423060479195,103.4475186794227,156.77142857142854,NE,NE
Rv0010c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,10,9,True,-0.01160499005094931,0.9754313268669953,-0.015044059912736812,0.9458077096141504,-0.003439069861787502,0.9822042271598853,80.79789114851256,108.03999999999999,NE,NE
Rv0011c,-,putative septation inhibitor protein ,3,3,True,-0.813301406947946,0.13845070087909073,-1.1572018822404633,0.00018441733170808237,-0.3439004752925173,0.4803884295735349,84.82394068434456,10.4,GD,NE
Rv0012,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,17,17,True,0.16663103483649996,0.5155968613914018,0.09578240476754636,0.5300371829824779,-0.0708486300689536,0.32544943668696324,138.6264605486793,153.82352941176472,NE,NE
Rv0013,trpG,para-aminobenzoate synthase component II ,14,1,False,,,,,,,,0.4642857142857143,ES/ESD,ES
Rv0014c,pknB,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) ,25,4,False,,,,,,,,7.9,ES/ESD,ES
Rv0015c,pknA,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) ,16,4,False,,,,,,,,4.5125,ES/ESD,ES
Rv0016c,pbpA,PROBABLE PENICILLIN-BINDING PROTEIN PBPA ,36,34,True,-0.4447777294141169,0.002129645289877881,-0.3308300810205759,0.00026820890151396984,0.11394764839354105,0.00015892400532339256,20.871337698644457,31.734285714285715,GD,NE
Rv0017c,rodA,PROBABLE CELL DIVISION PROTEIN RODA ,27,27,True,0.0662081238097615,0.759226332596309,-0.022878167194719568,0.8622994989524068,-0.08908629100448107,0.027535962351614436,75.60334906146048,89.0777777777778,NE,NE
Rv0018c,ppp,POSSIBLE SERINE/THREONINE PHOSPHATASE PPP ,25,15,False,,,,,,,,46.708,ES/ESD,ESD
Rv0019c,-,hypothetical protein Rv0019c ,13,13,True,0.11758352222848707,0.7179772193161938,-0.18602669844755923,0.2826125239583247,-0.3036102206760463,0.0021293145867888686,68.02065387560323,61.708333333333336,NE,NE
Rv0020c,TB39.8,hypothetical protein Rv0020c ,52,11,True,0.11410201981269666,0.7603851946260614,-0.08441067834828002,0.695502994390781,-0.19851269816097666,0.13776010865044105,139.27115671500965,117.94444444444444,NE,ESD
Rv0021c,-,hypothetical protein Rv0021c ,23,23,True,0.388299844427294,0.040816967186964107,0.46894262562207667,2.2716060231874986e-05,0.08064278119478269,0.10105863482626525,123.64276076916633,173.41739130434783,GA,NE
Rv0022c,whiB5,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 ,8,8,True,0.1984926766067666,0.602594651973432,0.24067242987545803,0.2543447123605285,0.042179753268691444,0.819190901057141,109.9387594154519,163.0125,NE,NE
Rv0023,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,12,9,True,-1.5477006922673684,6.111634347919438e-12,-1.4721726347975743,2.0332952075143228e-24,0.07552805746979407,0.48759410185074237,9.808203175203133,1.2333333333333336,GD,GD
Rv0024,-,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN ,13,13,True,-0.006238779564912102,0.9845314643969724,0.17070739638260599,0.30656864024762753,0.17694617594751808,0.04498021804742807,48.81598142015019,92.36923076923077,NE,NE
Rv0025,-,hypothetical protein Rv0025 ,8,8,True,0.23364865099781357,0.5323254482072918,0.3401902712933064,0.09774861889861984,0.10654162029549286,0.5253410437798077,98.76541186484182,85.275,NE,NE
Rv0026,-,hypothetical protein Rv0026 ,15,13,True,0.047289407244923275,0.8748706938012754,-0.06699676926104961,0.6877744442970299,-0.11428617650597289,0.14056727377876124,178.64009634485052,119.72,NE,NE
Rv0027,-,hypothetical protein Rv0027 ,5,5,True,-0.11432380073870117,0.8197740936996792,-0.2483989096349198,0.3611595087058116,-0.13407510889621865,0.6406442612407527,142.20973269538536,49.72,NE,NE
Rv0028,-,hypothetical protein Rv0028 ,5,5,True,0.1925265021842443,0.6987200898610659,0.06157063919045749,0.8389888092064246,-0.1309558629937868,0.6489837265847319,86.97760264994876,170.89999999999998,NE,NE
Rv0029,-,hypothetical protein Rv0029 ,19,19,True,0.17671029687204526,0.4613167162509375,0.20567909777608046,0.12494810636546934,0.028968800904035197,0.6950899560072785,87.37695678024257,131.67894736842103,NE,NE
Rv0030,-,hypothetical protein Rv0030 ,5,5,True,-0.01668576501861821,0.9750105616956527,-0.03860197468382901,0.8965139276796812,-0.021916209665210802,0.945580659527862,117.7657093762089,92.78,NE,NE
Rv0031,-,POSSIBLE REMNANT OF A TRANSPOSASE ,1,1,True,-0.5518461189676781,0.6092286377591152,0.4266465917375404,0.49276154828579216,0.9784927107052185,,13.190859145549808,10.6,NE,Uncertain
Rv0032,bioF2,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) ,56,47,True,-0.16960925644021752,0.19138552776266804,-0.31524998412813043,8.539095873721289e-06,-0.14564072768791292,3.6277859023703924e-14,119.6845849129884,119.325,GD,NE
Rv0033,acpA,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) ,4,4,True,0.6509188518308292,0.17833740068055143,0.341656210056662,0.25248340529671803,-0.3092626417741672,0.36568280291504884,230.7769342230487,201.22499999999997,NE,NE
Rv0034,-,hypothetical protein Rv0034 ,5,5,True,0.23842029371182594,0.6229903133409912,0.3291806685017522,0.21725081219385103,0.09076037478992627,0.7579340586006932,95.882136393299,139.83999999999997,NE,NE
Rv0035,fadD34,PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) ,25,24,True,0.28133438352751194,0.1391212304336707,0.2981475112766565,0.006885568542696298,0.016813127749144563,0.769116778146049,129.19324709822203,172.93600000000004,GA,NE
Rv0036c,-,hypothetical protein Rv0036c ,4,4,True,0.505441451786149,0.3180952259827598,0.45607875617101923,0.11741227809634969,-0.04936269561512974,0.9005594494929025,107.89625745064279,155.3,NE,NE
Rv0037c,-,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN ,21,20,True,0.2269817348912943,0.30213186478174214,0.29534950472963634,0.015196002222939535,0.06836776983834203,0.22288562822940736,147.9332709311195,178.9190476190476,GA,NE
Rv0038,-,hypothetical protein Rv0038 ,8,8,True,0.4873438455837562,0.14900278721912788,0.1751284713927958,0.42128889954728227,-0.3122153741909604,0.04061406534045199,193.0588011828054,190.93750000000003,NE,NE
Rv0039c,-,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN ,4,4,True,0.22414337016022245,0.6883219946919069,0.2873562162962267,0.34312622107122215,0.06321284613600425,0.8723092402434852,69.02296816422063,126.625,NE,NE
Rv0040c,mtc28,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) ,10,10,True,0.35639039542820455,0.2563457660917796,0.33163577110737075,0.06742834789920794,-0.024754624320833807,0.8717161925049405,143.051802833842,156.32,NE,NE
Rv0041,leuS,leucyl-tRNA synthetase ,73,3,True,0.7497703649447058,0.47435827769145955,-0.15325711499367944,0.8211194548301138,-0.9030274799383853,,153.22635295738814,221.8,NE,ES
Rv0042c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) ,5,5,True,0.12626862733785366,0.8032250405875082,-0.02262898086991766,0.9419741781624064,-0.14889760820777131,0.5984128143690334,37.87408827605214,65.96000000000001,NE,NE
Rv0043c,-,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) ,11,11,True,0.09097554809282192,0.7879317819887981,0.02755274147513339,0.8921865971069504,-0.06342280661768854,0.6110393845230806,71.8664733817517,85.27272727272727,NE,NE
Rv0044c,-,POSSIBLE OXIDOREDUCTASE ,20,19,True,0.020188515818127136,0.9419903641384965,0.1533342732279885,0.2507850470628796,0.13314575740986137,0.0160159861760326,75.2910759792205,105.67999999999999,NE,NE
Rv0045c,-,POSSIBLE HYDROLASE ,7,7,True,0.44822581027544284,0.22732909413413596,0.3828778543653168,0.07889516224037352,-0.06534795591012604,0.7522592448319421,114.5060680695561,202.21428571428572,NE,NE
Rv0046c,ino1,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) ,17,2,False,,,,,,,,0.8705882352941177,ES/ESD,ES
Rv0047c,-,hypothetical protein Rv0047c ,8,8,True,0.33820124680812175,0.34681214290929113,0.21553927567826614,0.31165206990459693,-0.12266197112985561,0.4560582119189172,140.76988309978117,209.57500000000002,NE,NE
Rv0048c,-,POSSIBLE MEMBRANE PROTEIN ,16,16,True,0.33614297856173725,0.16164946791435933,0.18330056153413843,0.2187118991571765,-0.15284241702759882,0.029853054400905858,315.5463647362026,261.6375,NE,NE
Rv0049,-,hypothetical protein Rv0049 ,9,9,True,0.24215548048019733,0.4881884466889247,0.09491079200838046,0.6589813464430382,-0.14724468847181688,0.2825500334118538,106.29999408380145,127.2111111111111,NE,NE
Rv0050,ponA1,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) ,37,35,True,-0.3538836066253284,0.01582777841165216,-0.43566886884907885,3.9531944078724084e-07,-0.08178526222375043,0.004243427325950054,24.744159835328045,30.875675675675673,GD,NE
Rv0051,-,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN ,34,33,True,-0.13709312236331891,0.44242101252003846,-0.251264550507393,0.008149453320568672,-0.11417142814407408,0.00023755627103442511,80.96574139362926,79.34705882352942,GD,NE
Rv0052,-,hypothetical protein Rv0052 ,7,7,True,0.412131346596656,0.2754662172771818,0.4040316658039901,0.061306398710668064,-0.008099680792665931,0.9720313919651019,112.37473358701017,222.08571428571426,NE,NE
Rv0053,rpsF,30S ribosomal protein S6 ,8,4,True,-0.016901819919854857,0.9835266934688742,-0.35227360553100706,0.41834340405829723,-0.3353717856111522,0.6890944064833839,143.52836742580922,39.849999999999994,NE,ES
Rv0054,ssb,single-strand DNA-binding protein ,5,0,False,,,,,,,,0.0,ES/ESD,ES
Rv0055,rpsR,30S ribosomal protein S18 ,5,2,True,-0.7014992457717153,0.3287158257967106,-0.4872874274726773,0.2482475217590828,0.21421181829903801,0.7957288806319855,33.88818304384497,61.6,NE,ES
Rv0056,rplI,50S ribosomal protein L9 ,8,8,True,-0.03317309716496666,0.9392444457130845,0.10622025944911755,0.6407922058831697,0.1393933566140842,0.38613796565060254,38.28290783691575,63.4375,NE,NE
Rv0057,-,hypothetical protein Rv0057 ,15,15,True,-0.16810675050865606,0.5530167365069419,-0.12941516537648148,0.43339040409689783,0.03869158513217458,0.7025728089595773,37.2895897959588,50.285714285714285,NE,NE
Rv0058,dnaB,replicative DNA helicase ,39,4,False,,,,,,,,0.046153846153846156,ES/ESD,ES
Rv0059,-,hypothetical protein Rv0059 ,21,21,True,0.6443338740845777,0.00045720892116732516,0.24581674099001094,0.04824061989883291,-0.3985171330945667,1.784840006620579e-10,338.9614797526524,262.4095238095238,GA,GA
Rv0060,-,hypothetical protein Rv0060 ,24,8,False,,,,,,,,30.254166666666666,ES/ESD,ES
Rv0061,-,hypothetical protein Rv0061 ,6,6,True,0.13540352981466017,0.7659424758988813,0.21361068036226205,0.39168453618302485,0.07820715054760188,0.7468843794729071,95.85056329859071,81.55,NE,Uncertain
Rv0062,celA1,"POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) ",23,23,True,0.26330797431889014,0.19390573786791174,0.09835326161306646,0.4472527501008138,-0.16495471270582368,0.0005236184918823239,110.52470887554051,115.9217391304348,NE,NE
Rv0063,-,POSSIBLE OXIDOREDUCTASE ,24,23,True,0.19729833213914785,0.342695937328545,-0.1790856119310405,0.13403776500287778,-0.3763839440701884,4.472253842977723e-12,156.12107927014944,112.14583333333333,NE,NE
Rv0064,-,hypothetical protein Rv0064 ,69,67,True,-0.21947422983267847,0.04606023906752651,-0.24350082078250618,0.0001626249959984871,-0.024026590949827703,0.14063156656196196,42.57325457788145,51.189855072463764,GD,NE
Rv0065,-,hypothetical protein Rv0065 ,8,7,True,0.020679910218341927,0.9636875809349287,-0.08112071807999308,0.7233756976450173,-0.101800628298335,0.5475643475083388,107.06195913751074,107.16250000000001,NE,NE
Rv0066c,icd2,PROBABLE ISOCITRATE DEHYDROGENASE ,38,33,True,-0.4710790873322481,0.0005792743478903733,-0.5187791039401696,4.701849617093639e-10,-0.04770001660792145,0.10525617279173914,43.392140038649686,38.90263157894737,GD,NE
Rv0067c,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) ,12,12,True,-0.2258676974527781,0.45232874128657574,-0.3311150617744043,0.04314903969028127,-0.10524736432162621,0.3034411133560131,29.321900509275086,33.391666666666666,GD,NE
Rv0068,-,short chain dehydrogenase ,12,12,True,0.051641301257113185,0.8780289268947795,-0.033032361851566536,0.8670714520888768,-0.08467366310867971,0.4294198530307309,104.13270101433523,142.06666666666666,NE,NE
Rv0069c,sdaA,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) ,12,12,True,-0.08541921708656569,0.7928047697666779,-0.2723465119536421,0.1050944521956,-0.18692729486707643,0.05238084968850585,45.7205597087864,57.050000000000004,NE,NE
Rv0070c,glyA2,PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) ,18,17,True,-0.16809071904215345,0.4993309756972915,-0.10607683269693421,0.46971052727795853,0.06201388634521923,0.36954209950068856,84.84703850199051,101.43333333333334,NE,NE
Rv0071,-,POSSIBLE MATURASE ,9,8,True,-0.038793381267369864,0.9220047018305657,0.13278119216348624,0.5255801003430057,0.1715745734308561,0.20385154789627719,71.37069948076699,90.17777777777779,NE,NE
