#Command: python3 Fitness_Esimation.py demodata/out/H37Rv_expected_counts.csv demodata/H37Rv/H37RvBD1.prot_table demodata/out/H37Rv_gumbel_gene_predictions.csv
#Gumbel/Bernoulli Calls: Calls from the Gumbel Analysis. Genes found to be significant through Bernoulli when all sites have 0 insertions are labeled EB
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are determined to be ES and those labeled EB by Gumbel are determined to be ESB
#Gene+TTN Summary: 315ES 54ESB 731GD 1036GA 1845NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,M0 Fitness Estimation,M1 Fitness Estimation,Mean Actual Count,TTN-Fitness Assesment
Rv0001,dnaA,chromosomal replication initiation protein ,32,8,False,,,,,,,5.6625,ES
Rv0002,dnaN,DNA polymerase III subunit beta ,31,3,True,-1.7832731077966855,3.2783339049042777e-43,-1.666482970665571,3.939990059755805e-77,,,0.05161290322580645,GD
Rv0003,recF,recombination protein F ,35,31,True,-0.4364459435709769,0.0014667412387003188,-0.45899704245142037,2.6676622240731406e-07,-0.4553354854398389,-0.24511329323891604,32.58285714285714,GD
Rv0004,-,hypothetical protein Rv0004 ,8,3,True,-0.9527037763986846,0.0008348442218145223,-0.7628615268280681,6.162102859858564e-05,-1.2364318751201593,-1.009840032191107,53.962500000000006,GD
Rv0005,gyrB,DNA gyrase subunit B ,43,3,True,-1.668381556786912,2.706530311503454e-52,-1.7394445814804957,3.94870078337392e-116,-1.468219722896007,-0.8559215783127353,5.841860465116278,GD
Rv0006,gyrA,DNA gyrase subunit A ,46,6,False,,,,,,,2.7891304347826082,ES
Rv0007,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,11,11,True,0.6158902999160065,0.0144796912344557,0.5650695446579024,0.0005748623946464477,-0.14721719371412834,-0.004795018381318796,188.0181818181818,GA
Rv0008c,-,POSSIBLE MEMBRANE PROTEIN ,4,4,True,0.009632771272174415,0.9854046398196242,0.30945037304185274,0.2904861478875035,-0.45839501190300147,-0.16888733614327878,94.225,NE
Rv0009,ppiA,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) ,7,6,True,0.27283954491473367,0.43517555578013706,0.3475124789247693,0.1060118568889197,-0.4132897184250908,-0.25608507513182743,156.77142857142854,NE
Rv0010c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,10,9,True,0.07285381259805794,0.8188932487219585,0.06531374054801432,0.7465547723530628,-0.4536962406283256,-0.2548984645198772,108.03999999999999,NE
