ORF ID,Name,Description,Total # TA Sites,#Sites with 0 insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Coef Diff Adj Pval,Mean STLM Predicted Count,Mean Actual Count,Gene+TTN States,HMM+NP States
Rv0001,dnaA,chromosomal replication initiation protein ,32,8,False,,,,,,,,5.6625,ES/ESD,ES
Rv0003,recF,recombination protein F ,35,31,True,-0.5176710380592033,0.00025422972526095835,-0.5383782366366737,6.053235917628321e-10,-0.020707198577470387,0.5911391318984984,22.35552079483062,32.58285714285714,GD,NE
Rv0004,-,hypothetical protein Rv0004 ,8,3,True,-1.0339288708867194,0.0005222869208675571,-0.8343637418226327,8.341528601091452e-06,0.19956512906408663,0.19380329736282928,29.623688093533172,53.962500000000006,GD,NE
Rv0005,gyrB,DNA gyrase subunit B ,43,3,True,0.18850980182349605,0.7711248445257581,0.4434532224421349,0.1974181076773535,0.25494342061863884,0.612209939935449,74.09296701500585,83.73333333333333,NE,ES
Rv0006,gyrA,DNA gyrase subunit A ,46,6,False,,,,,,,,2.7891304347826082,ES/ESD,ES
Rv0007,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,11,11,True,0.534665205427955,0.052665831211013876,0.4733443115560148,0.004310097336888288,-0.06132089387194023,0.6269743541586866,136.4180188857063,188.0181818181818,GA,NE
Rv0008c,-,POSSIBLE MEMBRANE PROTEIN ,4,4,True,-0.07159232321595316,0.9035739823729776,0.24086850315256156,0.4363756663271756,0.3124608263685147,0.3628427173180143,60.80612532623816,94.225,NE,NE
Rv0009,ppiA,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) ,7,6,True,0.19161445042664615,0.6392627681932691,0.26762368381261786,0.23522939118023184,0.07600923338597171,0.714197298666721,103.4475186794227,156.77142857142854,NE,NE
Rv0010c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,10,9,True,-0.008371281890013132,0.9824648932135969,-0.011555878141994528,0.9584664248105664,-0.0031845962519813954,0.981631081860022,80.79789114851256,108.03999999999999,NE,NE
Rv0011c,-,putative septation inhibitor protein ,3,3,True,-0.8100676987870572,0.14089218818555108,-1.1548441802541598,0.00019593298275810835,-0.3447764814671026,0.4823670775959745,84.82394068434456,10.4,GD,NE
Rv0012,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,17,17,True,0.16986474299728171,0.5055898019560895,0.09962966190507717,0.5111949379274688,-0.07023508109220454,0.3328268707737571,138.6264605486793,153.82352941176472,NE,NE
Rv0013,trpG,para-aminobenzoate synthase component II ,14,1,False,,,,,,,,0.4642857142857143,ES/ESD,ES
Rv0014c,pknB,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) ,25,4,False,,,,,,,,7.9,ES/ESD,ES
Rv0015c,pknA,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) ,16,4,False,,,,,,,,4.5125,ES/ESD,ES
Rv0016c,pbpA,PROBABLE PENICILLIN-BINDING PROTEIN PBPA ,36,34,True,-0.44154402125332454,0.002335190616295086,-0.32752082939682914,0.00032413892794363173,0.1140231918564954,0.000162497149318959,20.871337698644457,31.734285714285715,GD,NE
Rv0017c,rodA,PROBABLE CELL DIVISION PROTEIN RODA ,27,27,True,0.06944183197067132,0.7469123586292543,-0.019150168344097322,0.8839667753961752,-0.08859200031476863,0.02884996546962199,75.60334906146048,89.0777777777778,NE,NE
Rv0018c,ppp,POSSIBLE SERINE/THREONINE PHOSPHATASE PPP ,25,15,False,,,,,,,,46.708,ES/ESD,ESD
Rv0019c,-,hypothetical protein Rv0019c ,13,13,True,0.12081723038935333,0.7092384142868546,-0.18247386002717214,0.29323602656177283,-0.30329109041652547,0.002177027471063729,68.02065387560323,61.708333333333336,NE,NE
Rv0020c,TB39.8,hypothetical protein Rv0020c ,52,11,True,0.11733572797349932,0.7526578806295493,-0.08022756292304602,0.7104658853197873,-0.19756329089654534,0.14104181195282806,139.27115671500965,117.94444444444444,NE,ESD
Rv0021c,-,hypothetical protein Rv0021c ,23,23,True,0.39153355258819883,0.039003751835729364,0.47221568832538524,2.0418066407977695e-05,0.08068213573718641,0.10168467642503969,123.64276076916633,173.41739130434783,GA,NE
Rv0022c,whiB5,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 ,8,8,True,0.20172638476768578,0.5965958572043991,0.24511039384130726,0.24508503202108042,0.04338400907362147,0.812602088889823,109.9387594154519,163.0125,NE,NE
Rv0023,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,12,9,True,-1.544466984106436,7.197617519694037e-12,-1.4697721464881748,2.962910602997783e-24,0.07469483761826123,0.4965581808704205,9.808203175203133,1.2333333333333336,GD,GD
Rv0024,-,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN ,13,13,True,-0.0030050714039921767,0.992308145838848,0.1732488654009569,0.2994861942648139,0.17625393680494908,0.04650374774859834,48.81598142015019,92.36923076923077,NE,NE
Rv0025,-,hypothetical protein Rv0025 ,8,8,True,0.23688235915864284,0.5282225951179765,0.34296277240444323,0.09489326496716101,0.10608041324580039,0.5303412147176628,98.76541186484182,85.275,NE,NE
Rv0026,-,hypothetical protein Rv0026 ,15,13,True,0.05052311540577006,0.8652100044114497,-0.06289496466439862,0.7066427088105408,-0.11341808007016868,0.1448048801678483,178.64009634485052,119.72,NE,NE
Rv0027,-,hypothetical protein Rv0027 ,5,5,True,-0.11109009257773673,0.8245039606718119,-0.24504572878439082,0.36862510790697844,-0.13395563620665407,0.6431021417566977,142.20973269538536,49.72,NE,NE
Rv0028,-,hypothetical protein Rv0028 ,5,5,True,0.1957602103451255,0.6943672200071842,0.06529177766368552,0.8297382976981168,-0.13046843268143998,0.6528295971599193,86.97760264994876,170.89999999999998,NE,NE
Rv0029,-,hypothetical protein Rv0029 ,19,19,True,0.17994400503300814,0.4532361529801576,0.20810679159841236,0.12037211821316136,0.02816278656540422,0.7064726030617706,87.37695678024257,131.67894736842103,NE,NE
