#Command: python3 Fitness_Esimation.py temp/STLM_pred.csv demodata/H37Rv/H37RvBD1.prot_table temp/H37RV_gumbel.txt
#Gumbel/Bernoulli Calls: Calls from the Gumbel Analysis. Genes found to be significant through Bernoulli when all sites have 0 insertions are labeled EB
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are determined to be ES and those labeled EB by Gumbel are determined to be ESB
#Gene+TTN Summary: 316ES 54ESB 731GD 1035GA 1845NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Mean Count Expected by M0,Mean Count Expected by M1,Mean Actual Count,TTN-Fitness Assesment
Rv0001,dnaA,chromosomal replication initiation protein ,32,8,False,,,,,,,,5.6625,ES
Rv0002,dnaN,DNA polymerase III subunit beta ,31,3,True,-1.783731808347,3.146947813419041e-43,-1.667085725117167,3.364877562422203e-77,0.11664608322983305,,,0.05161290322580645,GD
Rv0003,recF,recombination protein F ,35,31,True,-0.43690464412121416,0.0014505300979871468,-0.45956266252395817,2.570591585765908e-07,-0.022658018402744007,11.419673281171411,11.419673281171411,32.58285714285714,GD
Rv0004,-,hypothetical protein Rv0004 ,8,3,True,-0.9531624769488463,0.0008330595532890235,-0.7632793192650928,6.091909399124953e-05,0.1898831576837534,3.1308350456790093,3.1308350456790093,53.962500000000006,GD
Rv0005,gyrB,DNA gyrase subunit B ,43,3,True,-1.6688402573371461,2.5647878558109735e-52,-1.7400120754326271,3.1751143611379475e-116,-0.07117181809548101,0.19876112974873475,0.19876112974873475,5.841860465116278,GD
Rv0006,gyrA,DNA gyrase subunit A ,46,6,False,,,,,,,,2.7891304347826082,ES
Rv0007,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,11,11,True,0.6154315993657489,0.014584410090270212,0.5649357967616162,0.0005774635257427803,-0.05049580260413267,133.9623183784199,133.9623183784199,188.0181818181818,GA
Rv0008c,-,POSSIBLE MEMBRANE PROTEIN ,4,4,True,0.009174070721973824,0.9859110836153149,0.3089229106308198,0.2915532826440945,0.29974883990884593,32.79224380419725,32.79224380419725,94.225,NE
Rv0009,ppiA,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) ,7,6,True,0.27238084436452176,0.4364382591143669,0.3469292889476931,0.10665093723232257,0.07454844458317134,60.53090922388339,60.53090922388339,156.77142857142854,NE
Rv0010c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,10,9,True,0.07239511204779031,0.8196983525609585,0.06534475067444231,0.7465604950913325,-0.007050361373347996,38.009165518802874,38.009165518802874,108.03999999999999,NE
