ORF ID,Name,Description,Number of TA Sites,Number of Permissive (P) Sites,Number of Non-Permissive (NP) Sites,Number of Sites Belonging to Essential State,Number of Sites Belonging to Growth-Defect State,Number of Sites Belonging to Non-Essential State,Number of Sites Belonging to Growth-Advantage State,Fraction of Sites with Insertions,Mean Normalized Read-Count At Non-Zero Sites,Final Call
Rv0001,dnaA,Chromosomal replication initiator protein DnaA,32,29,3,31,0,1,0,0.125,45,ES
Rv0002,dnaN,DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase),31,27,4,31,0,0,0,0.032258065,1,ES
Rv0003,recF,DNA replication and repair protein RecF (single-strand DNA binding protein),35,32,3,0,0,35,0,0.857142857,38.03333333,NE
Rv0004,-,hypothetical protein,8,8,0,0,0,8,0,0.375,144,NE
Rv0005,gyrB,DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase),40,36,4,39,0,1,0,0.025,26,ES
Rv0006,gyrA,DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase),46,44,2,44,0,2,0,0.130434783,21.66666667,ES
Rv0007,-,Possible conserved membrane protein,11,11,0,0,0,11,0,1,188.0909091,NE
Rv0008c,-,Possible membrane protein,4,3,1,0,0,4,0,1,94.25,NE
Rv0009,ppiA,Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A),7,6,1,0,0,7,0,0.857142857,183,NE
Rv0010c,-,Probable conserved membrane protein,10,10,0,0,0,10,0,0.9,120,NE
Rv0011c,-,Probable conserved transmembrane protein,3,3,0,0,0,3,0,1,10.33333333,NE
Rv0012,-,Probable conserved membrane protein,16,13,3,0,0,16,0,0.9375,163.0666667,NE
Rv0013,trpG,Possible anthranilate synthase component II TrpG (glutamine amidotransferase),15,12,3,12,0,3,0,0.133333333,101.5,ES
Rv0014c,pknB,Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B),25,23,2,24,0,1,0,0.08,98.5,ES
Rv0015c,pknA,Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A),16,14,2,13,0,3,0,0.1875,24,ES
Rv0016c,pbpA,Probable penicillin-binding protein PbpA,37,33,4,1,0,36,0,0.864864865,39.125,NE
Rv0017c,rodA,Probable cell division protein RodA,27,26,1,0,0,27,0,1,89.11111111,NE
Rv0018c,pstP,Phosphoserine/threonine phosphatase PstP,25,23,2,11,0,14,0,0.56,83.28571429,ESD
Rv0019c,fhaB,"Conserved protein with FHA domain, FhaB",13,13,0,0,0,13,0,1,57.15384615,NE
Rv0020c,fhaA,"Conserved protein with FHA domain, FhaA",52,41,11,43,0,9,0,0.173076923,117.8888889,ESD
Rv0021c,-,hypothetical protein,23,21,2,0,0,23,0,1,173.3043478,NE
Rv0022c,whiB5,Probable transcriptional regulatory protein WhiB-like WhiB5,8,7,1,0,0,8,0,1,163,NE
Rv0023,-,Possible transcriptional regulatory protein,12,9,3,0,11,1,0,0.416666667,3,GD
Rv0024,-,Putative secreted protein P60-related protein,13,11,2,0,0,13,0,1,92.38461538,NE
Rv0025,-,hypothetical protein,8,8,0,0,0,8,0,1,85.25,NE
Rv0026,-,hypothetical protein,15,12,3,0,0,15,0,0.866666667,138.2307692,NE
Rv0027,-,hypothetical protein,5,5,0,0,0,5,0,1,49.8,NE
Rv0028,-,hypothetical protein,5,5,0,0,0,5,0,1,171,NE
Rv0029,-,hypothetical protein,19,18,1,0,0,19,0,1,131.7368421,NE
Rv0030,-,hypothetical protein,5,5,0,0,0,5,0,1,92.6,NE
Rv0031,-,Possible remnant of a transposase,1,0,1,0,0,1,0,1,11,Uncertain
Rv0032,bioF2,Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase),57,53,4,0,0,57,0,0.842105263,140.7291667,NE
Rv0033,acpA,Probable acyl carrier protein AcpA (ACP),3,3,0,0,0,3,0,1,244.3333333,NE
Rv0034,-,hypothetical protein,5,4,1,0,0,5,0,1,140,NE
Rv0035,fadD34,Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),25,22,3,0,0,25,0,0.96,180.125,NE
Rv0036c,-,hypothetical protein,4,4,0,0,0,4,0,1,155,NE
Rv0037c,-,Probable conserved integral membrane protein,21,19,2,0,0,21,0,0.952380952,187.85,NE
Rv0038,-,hypothetical protein,8,8,0,0,0,8,0,1,191,NE
Rv0039c,-,Possible conserved transmembrane protein,4,3,1,0,0,4,0,1,126.75,NE
