#Gumbel
#Console: python3 /home/grads/s/schoudhery/.local/bin/transit gumbel murray2013_caulobacter_table_S3_remapped.wig Caulobacter_NA1000.prot_table Caulobacter_gumbel.txt
#Data: b'murray2013_caulobacter_table_S3_remapped.wig'
#Annotation path: b'Caulobacter_NA1000.prot_table'
#FDR Corrected thresholds: 0.996100, 0.064400
#MH Acceptance-Rate:	19.91%
#Total Iterations Performed:	10499
#Sample Size:	10000
#phi estimate:	0.048927
#Time: 153.75576615333557
#Orf	Name	Desc	k	n	r	s	zbar	Call
CCNA_00001	-	ATP/GTP-binding protein	12	12	0	0	0.000000	NE
CCNA_00002	-	septum formation protein Maf	7	7	0	0	0.000000	NE
CCNA_00003	-	shikimate 5-dehydrogenase	8	8	0	0	0.000000	NE
CCNA_00004	-	dephospho-CoA kinase	1	5	4	423	0.999800	E
CCNA_00005	dnaQ	DNA polymerase III, epsilon chain	5	6	1	2	0.000000	NE
CCNA_00006	-	enoyl-CoA hydratase	4	4	0	0	0.000000	NE
CCNA_00007	-	SSU ribosomal protein S20P	0	1	1	2	-1.000000	S
CCNA_00008	dnaA	chromosome replication initiator protein DnaA	0	9	9	928	1.000000	E
CCNA_00009	alkB	alkylated DNA repair protein AlkB	8	9	1	2	0.000000	NE
CCNA_00010	dnaK	chaperone protein DnaK	1	12	11	1748	0.504600	U
CCNA_00011	dnaJ	chaperone protein DnaJ	3	9	6	734	0.999900	E
CCNA_00012	mutS	DNA mismatch repair protein MutS	21	23	1	2	0.000000	NE
CCNA_00013	-	protein-PII uridylyltransferase	17	28	4	74	0.000300	NE
CCNA_00014	moaC	molybdenum cofactor biosynthesis protein C	1	1	0	0	-1.000000	S
CCNA_00015	moaB	molybdenum cofactor biosynthesis protein B	2	2	0	0	-1.000000	S
CCNA_00016	moaE	molybdopterin converting factor, large subunit	4	4	0	0	0.000000	NE
CCNA_00017	moaD	molybdopterin converting factor, small subunit	0	0	0	0	-1.000000	S
CCNA_00018	moaA	molybdenum cofactor biosynthesis protein A	7	8	1	2	0.000000	NE
CCNA_00019	-	molybdopterin-guanine dinucleotide biosynthesis protein A	6	6	0	0	0.000000	NE
CCNA_00020	-	hypothetical protein	2	2	0	0	-1.000000	S
CCNA_00021	-	putative aerobic-type carbon monoxide dehydrogenase, large subunit CoxL	21	23	1	2	0.000000	NE
CCNA_00022	-	putative aerobic-type carbon monoxide dehydrogenase, small subunit CoxS	6	7	1	2	0.000000	NE
CCNA_00023	-	putative periplasmic protein	7	7	0	0	0.000000	NE
CCNA_00024	-	uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase	4	4	0	0	-1.000000	S
CCNA_00025	-	major facilitator superfamily transporter	20	21	1	2	0.000000	NE
CCNA_00026	-	PAS-family sensor histidine kinase	18	22	2	537	0.211900	U
CCNA_00027	-	2OG-Fe(II) oxygenase	5	5	0	0	0.000000	NE
CCNA_00028	-	TonB-dependent receptor	40	41	1	2	0.000000	NE
CCNA_00029	-	lysine exporter protein	5	5	0	0	0.000000	NE
CCNA_00030	-	ribonuclease T2	6	7	1	2	0.000000	NE
CCNA_00031	vapC	toxin protein VapC	7	7	0	0	0.000000	NE
CCNA_00032	vapB	antitoxin protein VapB	3	3	0	0	-1.000000	S
CCNA_00033	-	polyribonucleotide nucleotidyltransferase/polynucleotide adenylyltransferase	1	13	12	1266	1.000000	E
CCNA_00034	-	SSU ribosomal protein S15P	0	4	4	201	0.999900	E
CCNA_00035	-	tRNA pseudouridine synthase B	4	6	2	31	0.000000	NE
CCNA_00036	-	ribosome-binding factor A	3	3	0	0	-1.000000	S
CCNA_00037	-	esterase lipase family protein	3	3	0	0	0.000000	NE
CCNA_00038	-	hypothetical protein	5	5	0	0	0.000000	NE
CCNA_00039	-	conserved hypothetical protein	4	4	0	0	0.000000	NE
CCNA_00040	-	YcxB-like membrane protein	13	13	0	0	0.000000	NE
CCNA_00041	-	protein translation initiation factor 2 IF-2	1	12	7	992	0.999000	E
CCNA_00042	-	Ylxr-like protein	2	3	1	2	0.000000	NE
CCNA_00043	nusA	N utilization substance protein A NusA	1	12	11	1049	0.999900	E
CCNA_00044	-	ribosome maturation protein RimP	4	5	1	2	0.000000	NE
CCNA_00045	-	inorganic pyrophosphatase	3	11	8	397	1.000000	E
CCNA_00046	-	conserved hypothetical protein	5	5	0	0	0.000000	NE
CCNA_00047	-	tRNA m7-G46 methyltransferase	4	4	0	0	0.000000	NE
CCNA_00048	metK	S-adenosylmethionine synthetase	2	14	12	861	1.000000	E
CCNA_00049	hipB	HTH transcriptional regulator	4	4	0	0	0.000000	NE
CCNA_00050	-	apolipoprotein N-acyltransferase	26	32	1	2	0.000000	NE
CCNA_00051	corC	magnesium and cobalt efflux protein CorC	8	9	1	2	0.000000	NE
CCNA_00052	-	metal-dependent hydrolase/metalloproteinase	7	8	1	2	0.000000	NE
CCNA_00053	phoH	phosphate starvation-inducible protein PhoH	9	9	0	0	0.000000	NE
CCNA_00054	-	tRNA 2-methylthioadenosine synthase	17	17	0	0	0.000000	NE
CCNA_00055	-	ferric uptake regulation protein	4	5	1	2	0.000000	NE
CCNA_00056	-	ribosomal-protein-S18-alanine acetyltransferase	5	5	0	0	0.000000	NE
CCNA_00057	-	glycoprotease family protein	5	8	2	209	0.000200	NE
CCNA_00058	-	conserved hypothetical protein	7	7	0	0	0.000000	NE
CCNA_00059	-	oxygen-insensitive NADH nitroreductase	5	5	0	0	0.000000	NE
