#Command: python3 Fitness_Esimation.py H37RvBD1_TTN.csv H37RvBD1_hmm_np.csv H37RvBD1.pickle H37RvBD1.prot_table H37RvBD1_Gumbel_predictions.txt
#Gumbel/Bernoulli Calls: Calls from the Gumbel Analysis. Genes found to be significant through Bernoulli when all sites have 0 insertions are labeled EB
#Significant size n for genes lacking insertion: 1.616911723671773
#HMM States: HMM+NP model trained on data
#Gene+TTN States: Genes labeled E by the Gumbel are determined to be ES and those labeled EB by Gumbel are determined to be ESB
#Gene+TTN Summary: 315ES 54ESB 731GD 1036GA 1845NE
ORF ID,Name,Description,Total # TA Sites,#Sites with insertions,Used in Models,Gene (M0) Coef,Gene (M0) Adj Pval,Gene+TTN (M1) Coef,Gene+TTN (M1) Adj Pval,Coef Diff (M1-M0),Coef Diff Adj Pval,Mean STLM Predicted Count,Mean Actual Count,Gene+TTN States,HMM+NP States,Gumbel Call
Rv0001,dnaA,chromosomal replication initiation protein ,32,8,False,,,,,,,,5.6625,ES,ES,E
Rv0002,dnaN,DNA polymerase III subunit beta ,31,3,True,-1.7832760684451194,3.3461074578335816e-43,-1.66670669241222,3.867912785502104e-77,0.11656937603289941,0.0007195531340844983,0.050638501821291426,0.05161290322580645,GD,ES,U
Rv0003,recF,recombination protein F ,35,31,True,-0.43644890421928056,0.0014687902582768949,-0.4589080378302069,2.684768079134765e-07,-0.02245913361092633,0.5557078474070155,22.355520794830603,32.58285714285714,GD,NE,NE
Rv0004,-,hypothetical protein Rv0004 ,8,3,True,-0.9527067370469395,0.0008362463060540806,-0.7630135672138462,6.14761022989051e-05,0.18969316983309337,0.2209723993325072,29.62368809353317,53.962500000000006,GD,NE,U
Rv0005,gyrB,DNA gyrase subunit B ,43,3,True,-1.6683845174351752,2.7744215702701684e-52,-1.7393022654189798,4.3095270798522336e-116,-0.07091774798380457,0.0038362149471807975,5.169276768488772,5.841860465116278,GD,ES,U
Rv0006,gyrA,DNA gyrase subunit A ,46,6,False,,,,,,,,2.7891304347826082,ES,ES,E
Rv0007,-,POSSIBLE CONSERVED MEMBRANE PROTEIN ,11,11,True,0.6158873392677314,0.014494327567863171,0.5654866447107623,0.0005690497643513489,-0.05040069455696916,0.7010395032899149,136.41801888570623,188.0181818181818,GA,NE,NE
Rv0008c,-,POSSIBLE MEMBRANE PROTEIN ,4,4,True,0.009629810623938072,0.9854137196422278,0.30895441793587547,0.2913360316241916,0.2993246073119374,0.3866977855709582,60.806125326238245,94.225,NE,NE,NE
Rv0009,ppiA,PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) ,7,6,True,0.2728365842665074,0.43524030126404967,0.34731080372819245,0.10625894176951924,0.07447421946168503,0.7223527118999282,103.44751867942271,156.77142857142854,NE,NE,NE
Rv0010c,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,10,9,True,0.0728508519498033,0.818932722741558,0.06540473489329317,0.7460519019820704,-0.007446117056510132,0.9644143061958275,80.79789114851259,108.03999999999999,NE,NE,NE
Rv0011c,-,putative septation inhibitor protein ,3,3,True,-0.7288455649471164,0.15336809483143782,-1.0653750474060906,0.0007053740030230066,-0.3365294824589742,0.4964038456900663,84.82394068434459,10.4,GD,NE,S
Rv0012,-,PROBABLE CONSERVED MEMBRANE PROTEIN ,17,17,True,0.25108687683720426,0.24878373901915182,0.18347158286269463,0.18766984646285745,-0.06761529397450963,0.3558703200450477,138.6264605486792,153.82352941176472,NE,NE,NE
Rv0013,trpG,para-aminobenzoate synthase component II ,14,1,False,,,,,,,,0.4642857142857143,ES,ES,E
Rv0014c,pknB,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) ,25,4,False,,,,,,,,7.9,ES,ES,E
Rv0015c,pknA,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) ,16,4,False,,,,,,,,4.5125,ES,ES,E
Rv0016c,pbpA,PROBABLE PENICILLIN-BINDING PROTEIN PBPA ,36,34,True,-0.39849522402333265,0.0036227391289485396,-0.3129586165627744,0.0005592571081377301,0.08553660746055824,0.0037450683768986354,20.295917849868793,30.855555555555554,GD,NE,NE
Rv0017c,rodA,PROBABLE CELL DIVISION PROTEIN RODA ,27,27,True,0.15066396581046335,0.3933306885013324,0.061180116872091954,0.608123943247506,-0.08948384893837139,0.027834421672881898,75.60334906146048,89.0777777777778,NE,NE,U
Rv0018c,ppp,POSSIBLE SERINE/THREONINE PHOSPHATASE PPP ,25,15,False,,,,,,,,46.708,ES,ESD,E
Rv0019c,-,hypothetical protein Rv0019c ,13,13,True,0.07890018979254028,0.7725859844213188,-0.15776213916710788,0.33290865476557097,-0.23666232895964817,0.007951293269323341,62.78829588517219,57.02307692307693,NE,NE,NE
Rv0020c,TB39.8,hypothetical protein Rv0020c ,52,11,True,-1.4624149338950188,1.1690951064562387e-48,-1.265505834377207,1.5453796450448192e-74,0.19690909951781177,0.0,24.104623277597813,20.417307692307695,GD,ESD,U
Rv0021c,-,hypothetical protein Rv0021c ,23,23,True,0.47275568642806826,0.006120335362802415,0.5422561983851238,8.837768436849209e-07,0.06950051195705559,0.1707790311749484,123.64276076916623,173.41739130434783,GA,NE,U
Rv0022c,whiB5,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 ,8,8,True,0.28294851860753245,0.38063180624351883,0.31508301422705826,0.11774839952057266,0.032134495619525805,0.8644381689763683,109.93875941545181,163.0125,NE,NE,NE
Rv0023,-,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ,12,9,True,-1.4632448502665893,1.1557062424942745e-11,-1.3946404227264149,1.667018957449364e-21,0.06860442754017448,0.5415121811080175,9.808203175203126,1.2333333333333336,GD,GD,NE
Rv0024,-,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN ,13,13,True,0.07821706243582609,0.7747793694722321,0.24351590906279438,0.12306503194663249,0.1652988466269683,0.06341624167927572,48.815981420150166,92.36923076923077,NE,NE,NE
Rv0025,-,hypothetical protein Rv0025 ,8,8,True,0.31810449299853893,0.31962507066745066,0.4081109859392384,0.039913611973595275,0.09000649294069946,0.6039315791860517,98.76541186484172,85.275,GA,NE,NE
Rv0026,-,hypothetical protein Rv0026 ,15,13,True,0.13174524924561945,0.5923576411820568,0.028701267679020134,0.8658982854859357,-0.10304398156659932,0.19294483626137768,178.64009634485018,119.72,NE,NE,NE
Rv0027,-,hypothetical protein Rv0027 ,5,5,True,-0.029867958737941524,0.9497510946135003,-0.16537683445911808,0.5443582148589247,-0.13550887572117656,0.6413823912022221,142.20973269538513,49.72,NE,NE,NE
Rv0028,-,hypothetical protein Rv0028 ,5,5,True,0.2769823441849341,0.5080164015076375,0.15186464437298106,0.5803314638520827,-0.12511769981195306,0.6718386814294869,86.97760264994861,170.89999999999998,NE,NE,NE
Rv0029,-,hypothetical protein Rv0029 ,19,19,True,0.2611661388727886,0.2022798304115834,0.2842685680743977,0.02678846670168713,0.023102429201609098,0.7619001709816992,87.37695678024244,131.67894736842103,GA,NE,NE
Rv0030,-,hypothetical protein Rv0030 ,5,5,True,0.06777007698208724,0.8825974772257823,0.04576897761290737,0.8767207847240175,-0.02200109936917987,0.94802038921461,117.76570937620878,92.78,NE,NE,NE
