#HMM - Genes
#genes: ES=193, GD=309, NE=3348, GA=134, N/A=6
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
Rv0001	dnaA	chromosomal replication initiation protein 	32	0	31	1	0	0.2500	43.88	GD
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0	31	0	0	0.0968	8.67	GD
Rv0003	recF	recombination protein F 	35	0	0	35	0	0.8857	55.74	NE
Rv0004	-	hypothetical protein Rv0004 	8	0	0	8	0	0.3750	173.33	NE
Rv0005	gyrB	DNA gyrase subunit B 	43	40	0	3	0	0.0698	114.33	ES
Rv0006	gyrA	DNA gyrase subunit A 	46	15	29	2	0	0.1304	33.50	GD
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	11	0	0	11	0	1.0000	209.82	NE
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	0	0	4	0	1.0000	106.75	NE
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	0	0	7	0	0.8571	189.83	NE
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	0	0	10	0	0.9000	162.00	NE
Rv0011c	-	putative septation inhibitor protein 	3	0	0	3	0	1.0000	16.33	NE
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	0	0	16	0	1.0000	171.56	NE
Rv0013	trpG	para-aminobenzoate synthase component II 	15	12	0	3	0	0.1333	187.00	ES
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	25	0	24	1	0	0.1600	95.75	GD
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	0	13	3	0	0.2500	39.75	GD
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	0	1	36	0	0.9459	47.57	NE
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	0	0	27	0	1.0000	105.30	NE
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	11	0	14	0	0.6000	94.13	NE
Rv0019c	-	hypothetical protein Rv0019c 	13	0	0	13	0	1.0000	72.31	NE
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	43	0	9	0	0.2115	114.64	ES
Rv0021c	-	hypothetical protein Rv0021c 	23	0	0	23	0	1.0000	191.96	NE
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	0	0	8	0	1.0000	179.75	NE
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0	0	12	0	0.7500	6.67	NE
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	13	0	0	13	0	1.0000	105.62	NE
Rv0025	-	hypothetical protein Rv0025 	8	0	0	8	0	1.0000	115.50	NE
Rv0026	-	hypothetical protein Rv0026 	15	0	0	15	0	0.8667	166.15	NE
Rv0027	-	hypothetical protein Rv0027 	5	0	0	5	0	1.0000	72.20	NE
Rv0028	-	hypothetical protein Rv0028 	5	0	0	5	0	1.0000	179.00	NE
Rv0029	-	hypothetical protein Rv0029 	19	0	0	19	0	1.0000	157.68	NE
Rv0030	-	hypothetical protein Rv0030 	5	0	0	5	0	1.0000	165.80	NE
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0	0	1	0	1.0000	69.00	NE
